Disaster,Location,District,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Mahawewa,Puttalam,5,14,14.2,0
Cyclone,Puttalam,Puttalam,6,4,17.4,0
Cyclone,Mahawewa,Puttalam,5,13,14.2,0
Cyclone,Mahawewa,Puttalam,9,22,15.2,0
Cyclone,Aluthgama,Puttalam,5,24,14.2,0
Cyclone,Mundalama,Puttalam,11,2,10.1,1
Cyclone,Kottapitiya,Puttalam,6,29,17.4,0
Cyclone,Aluthgama,Puttalam,5,4,14.2,1
Cyclone,Katuneriya,Puttalam,10,11,11.0,0
Cyclone,Ambakele,Puttalam,4,1,8.2,0
Cyclone,Karuwalagaswewa,Puttalam,4,3,8.2,0
Cyclone,Mahawewa,Puttalam,5,27,14.2,1
Cyclone,Nattandiya,Puttalam,9,18,15.2,0
Cyclone,Nattandiya,Puttalam,7,7,16.9,0
Cyclone,Mundalama,Puttalam,5,24,14.2,0
