Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day,Rainfall(mm),Wind Speed(mph)
FLOOD,4,4001,4001027.0,Puloly North East(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,2,2002,2002006.0,Dambulugama(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,4,4001,4001027.0,Puloly South West(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,2,2002,2002006.0,Pahala Erevula(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,4,4001,4001027.0,Viyaparimoolai(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,2,2002,2002006.0,Kalogahaela(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,4,4001,4001027.0,Polikandy(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,2,2002,2002006.0,Ihala Erevula(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
STRONG WIND,3,3003,3003021.0,"Mandaduwa(Gn),Keppetiyawa(Gn), Kapugampotha",Hambantota,2004-09-06,2004,9,6,97.0,14.6
STRONG WIND,3,3003,3003030.0,Beliatta,Hambantota,2004-09-06,2004,9,6,97.0,14.6
STRONG WIND,1,1001,1001036.0,Kesbewa(Gn),Colombo,2004-03-25,2004,3,25,130.0,6.0
STRONG WIND,1,1003,1003003.0,Panadura,Kaluthara,2005-09-12,2005,9,12,111.8,12.2
FLOOD,4,4005,4005006.0,"Punnaineeravi(Gn),Puliyampokkanai(Gn)",Kilinochchi,2001-11-22,2001,11,22,388.4,11.0
FLOOD,9,9001,9001036.0,Kolombugama(Gn),Ratnapura,2003-05-17,2003,5,17,473.2,10.1
STRONG WIND,5,5002,5002042.0,"Muwangala(Gn),Karalewa(Gn),Galkanda(Gn)",Ampara,2005-09-24,2005,9,24,172.5,7.7
STRONG WIND,3,3003,3003033.0,"Ruwinigama,Bataatha",Hambantota,2006-06-22,2006,6,22,76.0,16.4
FLOOD,4,4005,4005009.0,Kanagambigaikulam(Gn),Kilinochchi,2007-12-23,2007,12,23,279.6,13.2
